alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel
0.8,0.15,128,0.0,0.0,4.999999999870812e-07,1.000002000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.15,256,0.0,0.0,4.999999999870812e-07,1.000002000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.15,512,0.0,0.0,4.999999999870812e-07,1.000002000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.15,1024,0.0,0.0,4.999999999870812e-07,1.000002000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.15,128,0.1,0.014884674939055912,5.000985740901885e-07,1.0000020002225585,4.815213310668881e-09,4.513751072788204e-10,1.4293488277939997e-11,2.5342582071917167e-11,0.0,-2.2204460492492028e-16
0.8,0.15,256,0.1,0.014884674939055912,5.000985740901885e-07,1.0000020002225585,1.870363110864258e-09,9.040991125750401e-11,4.993734468162034e-12,7.008537988603173e-12,0.0,0.0
0.8,0.15,512,0.1,0.014884674939055912,5.000985740901885e-07,1.0000020002225585,1.1340014824520322e-09,1.5093207838443775e-11,2.371660250796594e-12,1.8369700963335915e-12,0.0,-2.2204460492492028e-16
0.8,0.15,1024,0.1,0.014884674939055912,5.000985740901885e-07,1.0000020002225585,6.491161752079712e-10,2.295882192377031e-12,1.808209085465011e-12,4.872139209378843e-13,0.0,0.0
0.8,0.15,128,0.2,0.029769349878111823,5.00394267168777e-07,1.000002000887283,9.631257100134378e-09,9.038471638302491e-10,5.718059260033724e-11,1.0131386515661735e-10,0.0,-2.2204460492492028e-16
0.8,0.15,256,0.2,0.029769349878111823,5.00394267168777e-07,1.000002000887283,3.741268616622141e-09,1.8121005532457474e-10,1.9976806124246347e-11,2.801646011262503e-11,0.0,-2.2204460492492028e-16
0.8,0.15,512,0.2,0.029769349878111823,5.00394267168777e-07,1.000002000887283,2.2682929926783592e-09,3.03495936083217e-11,9.487806943108839e-12,7.342715083207698e-12,0.0,-2.2204460492492028e-16
0.8,0.15,1024,0.2,0.029769349878111823,5.00394267168777e-07,1.000002000887283,1.2984056943764262e-09,4.668204916090012e-12,7.2336985608629766e-12,1.9474510655815115e-12,0.0,0.0
0.8,0.15,128,0.3,0.04465402481716773,5.008869918609393e-07,1.00000200199532,1.444896200750137e-08,1.3584909647695276e-09,1.2867956835848764e-10,2.2774649017545306e-10,0.0,0.0
0.8,0.15,256,0.3,0.04465402481716773,5.008869918609393e-07,1.00000200199532,5.613259045794375e-09,2.727816292436446e-10,4.4954210492265126e-11,6.297096516052706e-11,0.0,-2.2204460492492028e-16
0.8,0.15,512,0.3,0.04465402481716773,5.008869918609393e-07,1.00000200199532,3.4031646318591135e-09,4.592702859202011e-11,2.1351381141116885e-11,1.6501312483605603e-11,0.0,-2.2204460492492028e-16
0.8,0.15,1024,0.3,0.04465402481716773,5.008869918609393e-07,1.00000200199532,1.9480419479105625e-09,7.188317010266439e-12,1.6278890477478722e-11,4.37595048565636e-12,0.0,-2.2204460492492028e-16
0.8,0.15,128,0.4,0.05953869975622365,5.015766034048214e-07,1.000002003546915,1.9269158965097372e-08,1.816338168155125e-09,2.2882222467810024e-10,4.043679986012007e-10,-4.4408920984984055e-16,-4.4408920984984055e-16
0.8,0.15,256,0.4,0.05953869975622365,5.015766034048214e-07,1.000002003546915,7.486877212662886e-09,3.6548833259155805e-10,7.993428239905429e-11,1.117864744596851e-10,-4.4408920984984055e-16,0.0
0.8,0.15,512,0.4,0.05953869975622365,5.015766034048214e-07,1.000002003546915,4.538906648971632e-09,6.19732978269959e-11,3.796761780776934e-11,2.9286967187927884e-11,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.15,1024,0.4,0.05953869975622365,5.015766034048214e-07,1.000002003546915,2.598198414978771e-09,9.918537960197572e-12,2.8947779755565116e-11,7.76521775079419e-12,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.15,128,0.5,0.07442337469527956,5.024629008133023e-07,1.0000020055424124,2.4092679341321273e-08,2.2783584599321118e-09,3.5765229138394287e-10,6.308103072096338e-10,-2.2204460492492028e-16,-2.2204460492492028e-16
