alpha,rho,N,closure,threshold,Z_observed,Z_predicted,beta,mu,g
0.8,0.15,128,open,0.001,60.0,58.577855227030554,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,128,open,0.01,74.4,73.76904720122204,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,128,corrected,0.001,54.5,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,128,corrected,0.01,68.8,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,256,open,0.001,62.0,62.20437005192955,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,256,open,0.01,77.3,77.40991655633081,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,256,corrected,0.001,70.8,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,256,corrected,0.01,83.8,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,512,open,0.001,64.5,65.83492029464789,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,512,open,0.01,79.10000000000001,81.05341969906465,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,512,corrected,0.001,82.60000000000001,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,512,corrected,0.01,,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,1024,open,0.001,67.3,69.46908392894497,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,1024,open,0.01,81.8,84.69932993062939,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,1024,corrected,0.001,84.9,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.15,1024,corrected,0.01,,,0.7943285854760255,0.17965608009474265,0.1488467493905591
0.8,0.3,128,open,0.001,32.2,33.56463113548795,0.8005208889030638,-0.1425708793157819,0.2999056562908215
0.8,0.3,128,open,0.01,39.0,41.341395579755805,0.8005208889030638,-0.1425708793157819,0.2999056562908215
0.8,0.3,128,corrected,0.001,36.2,,0.8005208889030638,-0.1425708793157819,0.2999056562908215
0.8,0.3,128,corrected,0.01,43.6,,0.8005208889030638,-0.1425708793157819,0.2999056562908215
0.8,0.3,256,open,0.001,35.1,35.44066376740879,0.8005208889030638,-0.1425708793157819,0.2999056562908215
0.8,0.3,256,open,0.01,42.2,43.21261789443065,0.8005208889030638,-0.1425708793157819,0.2999056562908215
0.8,0.3,256,corrected,0.001,41.6,,0.8005208889030638,-0.1425708793157819,0.2999056562908215
