alpha,rho,N,closure,threshold,Z_f,g,beta
0.8,0.15,128,open,1e-05,29.9,0.1488467493905591,0.7943285854760255
0.8,0.15,128,corrected,1e-05,28.0,0.1488467493905591,0.7943285854760255
0.8,0.15,128,open,3e-05,37.4,0.1488467493905591,0.7943285854760255
0.8,0.15,128,corrected,3e-05,33.9,0.1488467493905591,0.7943285854760255
0.8,0.15,128,open,0.0001,45.4,0.1488467493905591,0.7943285854760255
0.8,0.15,128,corrected,0.0001,40.7,0.1488467493905591,0.7943285854760255
0.8,0.15,128,open,0.0003,52.4,0.1488467493905591,0.7943285854760255
0.8,0.15,128,corrected,0.0003,47.2,0.1488467493905591,0.7943285854760255
0.8,0.15,128,open,0.001,60.0,0.1488467493905591,0.7943285854760255
0.8,0.15,128,corrected,0.001,54.5,0.1488467493905591,0.7943285854760255
0.8,0.15,128,open,0.01,74.4,0.1488467493905591,0.7943285854760255
0.8,0.15,128,corrected,0.01,68.8,0.1488467493905591,0.7943285854760255
0.8,0.15,256,open,1e-05,31.8,0.1488467493905591,0.7943285854760255
0.8,0.15,256,corrected,1e-05,41.2,0.1488467493905591,0.7943285854760255
0.8,0.15,256,open,3e-05,38.9,0.1488467493905591,0.7943285854760255
0.8,0.15,256,corrected,3e-05,49.1,0.1488467493905591,0.7943285854760255
0.8,0.15,256,open,0.0001,46.7,0.1488467493905591,0.7943285854760255
0.8,0.15,256,corrected,0.0001,57.2,0.1488467493905591,0.7943285854760255
0.8,0.15,256,open,0.0003,54.0,0.1488467493905591,0.7943285854760255
0.8,0.15,256,corrected,0.0003,63.9,0.1488467493905591,0.7943285854760255
0.8,0.15,256,open,0.001,62.0,0.1488467493905591,0.7943285854760255
0.8,0.15,256,corrected,0.001,70.8,0.1488467493905591,0.7943285854760255
0.8,0.15,256,open,0.01,77.3,0.1488467493905591,0.7943285854760255
0.8,0.15,256,corrected,0.01,83.8,0.1488467493905591,0.7943285854760255
0.8,0.15,512,open,1e-05,35.4,0.1488467493905591,0.7943285854760255
0.8,0.15,512,corrected,1e-05,61.4,0.1488467493905591,0.7943285854760255
0.8,0.15,512,open,3e-05,42.3,0.1488467493905591,0.7943285854760255
0.8,0.15,512,corrected,3e-05,69.2,0.1488467493905591,0.7943285854760255
0.8,0.15,512,open,0.0001,49.9,0.1488467493905591,0.7943285854760255
0.8,0.15,512,corrected,0.0001,74.5,0.1488467493905591,0.7943285854760255
0.8,0.15,512,open,0.0003,56.9,0.1488467493905591,0.7943285854760255
0.8,0.15,512,corrected,0.0003,78.5,0.1488467493905591,0.7943285854760255
0.8,0.15,512,open,0.001,64.5,0.1488467493905591,0.7943285854760255
0.8,0.15,512,corrected,0.001,82.60000000000001,0.1488467493905591,0.7943285854760255
0.8,0.15,512,open,0.01,79.10000000000001,0.1488467493905591,0.7943285854760255
0.8,0.15,512,corrected,0.01,,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,open,1e-05,38.4,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,corrected,1e-05,65.8,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,open,3e-05,45.2,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,corrected,3e-05,71.3,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,open,0.0001,52.8,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,corrected,0.0001,76.4,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,open,0.0003,59.7,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,corrected,0.0003,80.60000000000001,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,open,0.001,67.3,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,corrected,0.001,84.9,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,open,0.01,81.8,0.1488467493905591,0.7943285854760255
0.8,0.15,1024,corrected,0.01,,0.1488467493905591,0.7943285854760255
0.8,0.3,128,open,1e-05,17.900000000000002,0.2999056562908215,0.8005208889030638
0.8,0.3,128,corrected,1e-05,23.6,0.2999056562908215,0.8005208889030638
0.8,0.3,128,open,3e-05,21.6,0.2999056562908215,0.8005208889030638
0.8,0.3,128,corrected,3e-05,27.6,0.2999056562908215,0.8005208889030638
0.8,0.3,128,open,0.0001,25.3,0.2999056562908215,0.8005208889030638
0.8,0.3,128,corrected,0.0001,30.5,0.2999056562908215,0.8005208889030638
0.8,0.3,128,open,0.0003,28.7,0.2999056562908215,0.8005208889030638
0.8,0.3,128,corrected,0.0003,33.2,0.2999056562908215,0.8005208889030638
0.8,0.3,128,open,0.001,32.2,0.2999056562908215,0.8005208889030638
0.8,0.3,128,corrected,0.001,36.2,0.2999056562908215,0.8005208889030638
0.8,0.3,128,open,0.01,39.0,0.2999056562908215,0.8005208889030638
0.8,0.3,128,corrected,0.01,43.6,0.2999056562908215,0.8005208889030638
0.8,0.3,256,open,1e-05,20.1,0.2999056562908215,0.8005208889030638
