alpha,rho,sigma,R,Nref,N,Z,closure,D_W,D_W_ci_low,D_W_ci_high,Q99_ref,Q99_finite,Delta99,Delta99_ci_low,Delta99_ci_high,M4_ref,M4_finite,paired_max_mean,paired_max_positive_fraction
0.8,0.3,0.001,64,2048,128,15.0,open,0.0006914482508108869,0.0005604190396596715,0.0014213522964397912,1.0397996459519694,1.0397351847331386,-6.199388418884359e-05,-0.004267982677232593,0.0029298423655331894,1.0017066743279543,1.0017035087051456,0.0019484546957544823,0.671875
0.8,0.3,0.001,64,2048,128,15.0,corrected,8.299641810076328e-05,9.610794437063747e-05,0.0001545095926195337,1.0397996459519694,1.0401163381193048,0.0003045703742719482,-0.0005631383354977367,0.00045415099331845706,1.0017066743279543,1.0017133331432841,-4.991744140972129e-06,0.53125
0.8,0.3,0.001,64,2048,256,15.0,open,0.0003451110333543255,0.0003083625752569634,0.0006294227988816493,1.0409567410046363,1.0419733965785225,0.0009766549692593477,-0.001971433024384906,0.0023996711080790938,1.0017676122320927,1.001789509472225,0.001274834998482563,0.75
0.8,0.3,0.001,64,2048,256,15.0,corrected,3.377040252888516e-05,3.947920348987776e-05,5.4646322877024574e-05,1.0409567410046363,1.0408159196141753,-0.00013528073253563075,-0.00023279784744509687,0.00013923300446095057,1.0017676122320927,1.001767878660379,-3.1351875833043885e-06,0.484375
0.8,0.3,0.001,64,2048,512,15.0,open,0.0001489625026072649,0.00015276630418666995,0.0002642991939190623,1.0437979664795565,1.0441558670444848,0.00034288298734231937,-0.0009092796769221803,0.0015001612162892028,1.001757132722983,1.0017665198781602,0.0004189680596402151,0.625
0.8,0.3,0.001,64,2048,512,15.0,corrected,1.4320128939723102e-05,1.5880018158077486e-05,2.4132593663662716e-05,1.0437979664795565,1.043822755631658,2.3748994439100687e-05,-2.0121923680957004e-05,9.648565702056532e-05,1.001757132722983,1.0017571188421495,1.9020315336869265e-06,0.5625
0.8,0.3,0.001,64,2048,128,20.0,open,0.0033407683341285343,0.0023220496087943817,0.007010255058315576,1.1769954098786868,1.177242615437234,0.00021003103025920943,-0.020046673688501614,0.01839462898474475,1.0297547794936857,1.0295588434799359,0.009144632804996654,0.671875
0.8,0.3,0.001,64,2048,128,20.0,corrected,0.0003687873124651812,0.0003725488771231834,0.0006077755328394182,1.1769954098786868,1.1754809785381455,-0.0012866926479325803,-0.0016892770075944677,0.0014738591813842814,1.0297547794936857,1.0299381156772713,7.117660227819352e-05,0.5
0.8,0.3,0.001,64,2048,256,20.0,open,0.0015961741262013672,0.0014551226590496698,0.0030014224324934865,1.1792852934346714,1.1824926317373952,0.0027197306034254134,-0.012249088580289209,0.01080120822792782,1.0303882416659813,1.0306147436801611,0.00631848613861798,0.734375
0.8,0.3,0.001,64,2048,256,20.0,corrected,0.00013422448710217235,0.000143008033220176,0.00021568154361537706,1.1792852934346714,1.1790041308220647,-0.0002384178062526348,-0.0008005830889758757,0.0007575376464857658,1.0303882416659813,1.0303941884384304,7.009889551706783e-05,0.578125
0.8,0.3,0.001,64,2048,512,20.0,open,0.0006741409187117235,0.0006705564035921673,0.0012288466424292379,1.1895420645148935,1.1910514321385102,0.001268864438377113,-0.0034957553090193528,0.0059568183183705626,1.0301079642479745,1.0301601316657027,0.001464352152190488,0.5625
0.8,0.3,0.001,64,2048,512,20.0,corrected,6.86380516600706e-05,6.486607919600893e-05,0.00010114240166213853,1.1895420645148935,1.1897263490595922,0.00015492057842763808,3.3905406529953027e-05,0.00030646113352307466,1.0301079642479745,1.0301116725792114,6.285008026484656e-05,0.671875
