alpha,rho,q,lambda_inf,mi_gain
0.8,0.15,0.0,0.0,0.0
0.8,0.15,0.007853981633974483,0.03900197497933955,0.10089320314824402
0.8,0.15,0.015707963267948967,0.06788049699592458,0.12552444871961654
0.8,0.15,0.02356194490192345,0.09384998123322452,0.13909412421986328
0.8,0.15,0.031415926535897934,0.11808326733289443,0.14656507829580864
0.8,0.15,0.039269908169872414,0.1410942342756316,0.14973539106324418
0.8,0.15,0.0471238898038469,0.16316933699260439,0.1494207768791717
0.8,0.15,0.05497787143782139,0.18448999089042428,0.14598095947204365
0.8,0.15,0.06283185307179587,0.20518073769316003,0.13948149048400174
0.8,0.15,0.07068583470577035,0.22533199768703605,0.1297115651146049
0.8,0.15,0.07853981633974483,0.2450121837221031,0.11607189558354479
0.8,0.15,0.08639379797371932,0.2642747266319996,0.0971662845496408
0.8,0.15,0.0942477796076938,0.283162420816649,0.06904903824275674
0.8,0.15,0.10210176124166828,0.3017102514106853,0.0
0.8,0.15,0.10995574287564278,0.319947309997892,0.0
0.8,0.15,0.11780972450961726,0.33789813699958837,0.0
0.8,0.15,0.12566370614359174,0.35558368917247685,0.0
0.8,0.15,0.13351768777756623,0.37302205382847564,0.0
0.8,0.15,0.1413716694115407,0.39022898709132114,0.0
0.8,0.15,0.1492256510455152,0.40721832691336424,0.0
0.8,0.15,0.15707963267948966,0.42400231505140673,0.0
0.8,0.15,0.16493361431346415,0.44059185161757086,0.0
0.8,0.15,0.17278759594743864,0.45699669886184324,0.0
0.8,0.15,0.1806415775814131,0.4732256461578377,0.0
0.8,0.15,0.1884955592153876,0.48928664494257834,0.0
0.8,0.15,0.1963495408493621,0.5051869201049817,0.0
0.8,0.15,0.20420352248333656,0.5209330627102962,0.0
0.8,0.15,0.21205750411731106,0.536531107784691,0.0
0.8,0.15,0.21991148575128555,0.5519866000307119,0.0
0.8,0.15,0.22776546738526002,0.5673046497099659,0.0
0.8,0.15,0.2356194490192345,0.582489980452223,0.0
0.8,0.15,0.24347343065320898,0.597546970387276,0.0
0.8,0.15,0.25132741228718347,0.6124796877171925,0.0
0.8,0.15,0.25918139392115797,0.6272919216304733,0.0
0.8,0.15,0.26703537555513246,0.6419872092905679,0.0
