alpha,M,tail,asymptotic,relative_error
0.8,16,0.07049440359165636,0.07226723254526363,0.025148506310890995
0.8,32,0.04099265596869593,0.04150662557246626,0.012538089851089953
0.8,64,0.023690999043320657,0.02383929625828493,0.0062596437867859555
0.8,128,0.013649392730175534,0.013692080198089434,0.0031274261615704094
0.8,256,0.007851761844768067,0.007864035000016405,0.001563108445083152
0.8,512,0.004513175428195561,0.004516702034078977,0.0007814023495261525
0.8,1024,0.0025931510498067214,0.002594164098279141,0.00039066311717358564
0.8,2048,0.001489665051736387,0.001489956016142808,0.0001953220330180262
0.8,4096,0.0008556714486759983,0.0008557550123805895,9.765863372040515e-05
0.8,8192,0.0004914781892496505,0.0004915021875010252,4.882872098832739e-05
0.8,16384,0.00028228698531577155,0.000282293877129936,2.4414211504406298e-05
0.8,32768,0.00016213327697042784,0.00016213525614244627,1.2207068502047583e-05
1.2,16,0.019333842699327915,0.02006920599639959,0.03803503051657901
1.2,32,0.008573712628414906,0.00873562929253581,0.01888524506691319
1.2,64,0.0037669601873526956,0.003802403500681586,0.00940899599838847
1.2,128,0.0016473562335901828,0.0016550922546987544,0.004696021996233364
1.2,256,0.0007187346795873421,0.0007204207473175265,0.0023458833670756607
1.2,512,0.00031321412872431395,0.0003135813436937437,0.0011724086998418399
1.2,1024,0.0001364142592586683,0.00013649420769587203,0.0005860709696932682
1.2,2048,5.93951517925778e-05,5.9412554698149785e-05,0.00029300212301438297
1.2,4096,2.5857028613242418e-05,2.586081647966804e-05,0.0001464927189539348
1.2,8192,1.1255749757621786e-05,1.1256574176836353e-05,7.32442735774712e-05
1.2,16384,4.899529066546208e-06,4.8997084952147464e-06,3.662161528208953e-05
1.2,32768,2.1326829443789057e-06,2.132721995248001e-06,1.8310677261289272e-05
1.6,16,0.005393368714094668,0.005669157871531039,0.05113486061422847
1.6,32,0.0018240044927312219,0.0018701246647264073,0.025285119734615433
1.6,64,0.0006092518929138115,0.0006169110723095002,0.012571449485463114
1.6,128,0.0002022371611437077,0.00020350476003894364,0.006267883152964183
1.6,256,6.692210424546471e-05,6.713153518783142e-05,0.003129473359034467
1.6,512,2.211057542736003e-05,2.2145147935668116e-05,0.0015636186593906618
1.6,1024,7.2994697191734835e-06,7.305174471587526e-06,0.0007815297046931852
1.6,2048,2.4088677437916814e-06,2.4098088762089844e-06,0.0003906949311470529
1.6,4096,7.947852235176006e-07,7.949404689021233e-07,0.00019532998340804952
1.6,8192,2.6220695203371866e-07,2.622325593274664e-07,9.766062092980347e-05
1.6,16384,8.650026038365455e-08,8.650448412370356e-08,4.8829217741996427e-05
1.6,32768,2.8535141113124763e-08,2.8535837779638767e-08,2.4414335686718447e-05
