alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.3,0.0,0.0,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0078539816339744,0.0390019749793395,0.1479190012652691,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0157079632679489,0.0678804969959245,0.1900540352771837,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0235619449019234,0.0938499812332245,0.2179499248966563,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0314159265358979,0.1180832673328944,0.238550418938481,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0392699081698724,0.1410942342756316,0.254458164772821,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0471238898038469,0.1631693369926043,0.2669782194504947,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0549778714378213,0.1844899908904242,0.2768707962127926,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0628318530717958,0.20518073769316,0.2846213405484323,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0706858347057703,0.225331997687036,0.2905592700820113,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0785398163397448,0.2450121837221031,0.2949175139949953,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0863937979737193,0.2642747266319996,0.2978652461143825,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.0942477796076938,0.283162420816649,0.2995271205204036,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1021017612416682,0.3017102514106853,0.2999951250272448,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1099557428756427,0.319947309997892,0.2993361067827401,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1178097245096172,0.3378981369995883,0.2975965913984238,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1256637061435917,0.3555836891724768,0.2948057894580387,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1335176877775662,0.3730220538284756,0.2909772837433726,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1413716694115407,0.3902289870913211,0.2861096466190439,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1492256510455152,0.4072183269133642,0.2801860638466855,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1570796326794896,0.4240023150514067,0.2731728863959446,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1649336143134641,0.4405918516175708,0.2650168508958306,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1727875959474386,0.4569966988618432,0.2556404438786705,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1806415775814131,0.4732256461578377,0.2449344310488005,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1884955592153876,0.4892866449425783,0.2327457111234969,dispersion,,,,,,,,,,,,,,,,,,,,
