alpha,rho,N,q_c,period,open_error,corrected_error,naive_periodic_error,exact_periodic_error,panel,closure,error,beta_local,beta,beta_min,beta_max
0.8,0.3,64.0,0.098174770424681,64.0,0.092678333152452,0.00867652124865,0.0903582206048141,0.0,closure_scaling,,,,,,
0.8,0.3,128.0,0.098174770424681,64.0,0.0460525355540082,0.0022230399837129,0.0462442992516348,0.0,closure_scaling,,,,,,
0.8,0.3,256.0,0.098174770424681,64.0,0.0279197187414743,0.000371505098098,0.0271489814776159,0.0,closure_scaling,,,,,,
0.8,0.3,512.0,0.098174770424681,64.0,0.015982478523628,5.674491340955802e-05,0.0156927936214881,0.0,closure_scaling,,,,,,
0.8,0.3,1024.0,0.098174770424681,64.0,0.0091759260361469,8.606998628467644e-06,0.0090282770900057,0.0,closure_scaling,,,,,,
0.8,0.3,2048.0,0.098174770424681,64.0,0.0052695735992191,1.4195499994585452e-06,0.0051875897242898,0.0,closure_scaling,,,,,,
0.8,0.3,4096.0,0.098174770424681,64.0,0.0030264835749521,2.845515896691046e-07,0.002979805913525,0.0,closure_scaling,,,,,,
0.8,0.3,8192.0,0.098174770424681,64.0,0.0017382450457503,7.011679936006681e-08,0.0017114947844494,0.0,closure_scaling,,,,,,
0.8,0.3,16384.0,0.098174770424681,64.0,0.0009983576966089,1.9212424285217847e-08,0.0009830021865789,0.0,closure_scaling,,,,,,
0.8,0.3,32768.0,0.098174770424681,64.0,0.0005734056466417,5.449004123064106e-09,0.0005645874400262,0.0,closure_scaling,,,,,,
0.8,0.3,64.0,,,,,,,open_local_beta,open,0.092678333152452,,,,
0.8,0.3,128.0,,,,,,,open_local_beta,open,0.0460525355540082,1.0089515069306756,,,
0.8,0.3,256.0,,,,,,,open_local_beta,open,0.0279197187414743,0.7219961820486015,,,
0.8,0.3,512.0,,,,,,,open_local_beta,open,0.015982478523628,0.8047932529257217,,,
0.8,0.3,1024.0,,,,,,,open_local_beta,open,0.0091759260361469,0.8005654877638689,,,
0.8,0.3,2048.0,,,,,,,open_local_beta,open,0.0052695735992191,0.8001675350594404,,,
0.8,0.3,4096.0,,,,,,,open_local_beta,open,0.0030264835749521,0.8000437058831059,,,
0.8,0.3,8192.0,,,,,,,open_local_beta,open,0.0017382450457503,0.8000110437636211,,,
0.8,0.3,16384.0,,,,,,,open_local_beta,open,0.0009983576966089,0.8000027683271247,,,
0.8,0.3,32768.0,,,,,,,open_local_beta,open,0.0005734056466417,0.8000006925442505,,,
1.2,0.3,64.0,,,,,,,open_local_beta,open,0.0164261079431261,,,,
1.2,0.3,128.0,,,,,,,open_local_beta,open,0.0078864460442926,1.0585434694966582,,,
1.2,0.3,256.0,,,,,,,open_local_beta,open,0.0034098157563359,1.2096815214357768,,,
1.2,0.3,512.0,,,,,,,open_local_beta,open,0.0014831436611364,1.2010354400141128,,,
1.2,0.3,1024.0,,,,,,,open_local_beta,open,0.0006454306615968,1.2003243270221782,,,
1.2,0.3,2048.0,,,,,,,open_local_beta,open,0.0002809233134069,1.200085759061497,,,
1.2,0.3,4096.0,,,,,,,open_local_beta,open,0.0001222771314949,1.2000217430597937,,,
1.2,0.3,8192.0,,,,,,,open_local_beta,open,5.32240116076156e-05,1.200005454900709,,,
1.2,0.3,16384.0,,,,,,,open_local_beta,open,2.316707472497501e-05,1.200001364908235,,,
1.2,0.3,32768.0,,,,,,,open_local_beta,open,1.0084052590377332e-05,1.2000003412859568,,,
1.6,0.3,64.0,,,,,,,open_local_beta,open,0.0039461224072865,,,,
1.6,0.3,128.0,,,,,,,open_local_beta,open,0.0012963659026976,1.6059627284490272,,,
1.6,0.3,256.0,,,,,,,open_local_beta,open,0.0004262998330085,1.6045325849059109,,,
1.6,0.3,512.0,,,,,,,open_local_beta,open,0.0001405459866884,1.6008262322299651,,,
1.6,0.3,1024.0,,,,,,,open_local_beta,open,4.635456397306202e-05,1.6002589622533516,,,
1.6,0.3,2048.0,,,,,,,open_local_beta,open,1.5290595353106662e-05,1.6000668101456463,,,
1.6,0.3,4096.0,,,,,,,open_local_beta,open,5.043956524735816e-06,1.600016834581035,,,
1.6,0.3,8192.0,,,,,,,open_local_beta,open,1.663880270579711e-06,1.6000042168996402,,,
1.6,0.3,16384.0,,,,,,,open_local_beta,open,5.488753938613648e-07,1.6000010541180116,,,
1.6,0.3,32768.0,,,,,,,open_local_beta,open,1.8106132288152398e-07,1.600000264343192,,,
0.8,,,,,,,,,beta_vs_alpha,,,,0.7974247371895447,0.7943285854760255,0.8005208889030638
1.2,,,,,,,,,beta_vs_alpha,,,,1.200615377049365,1.2001532722697053,1.2010774818290246
1.6,,,,,,,,,beta_vs_alpha,,,,1.6001801212918645,1.6001219098981472,1.6002383326855818
1.2,0.15,32768.0,,,,,,,corrected_local_beta,corrected,1.7663047852573262e-10,2.21848524185723,,,
0.8,0.15,32768.0,,,,,,,corrected_local_beta,corrected,5.783637688768793e-09,2.021511008127707,,,
0.8,0.3,32768.0,,,,,,,corrected_local_beta,corrected,5.449004123064106e-09,1.8179750867072804,,,
1.2,0.3,32768.0,,,,,,,corrected_local_beta,corrected,1.7591209579142138e-10,2.201160975008648,,,
1.6,0.15,32768.0,,,,,,,corrected_local_beta,corrected,5.005511502245903e-12,2.59835510339036,,,
1.6,0.3,32768.0,,,,,,,corrected_local_beta,corrected,5.031939963005608e-12,2.5894578127794445,,,
