alpha,rho,N,q_c,period,open_error,corrected_error,naive_periodic_error,exact_periodic_error,panel,closure,error,beta_local,beta,beta_min,beta_max
0.8,0.3,64.0,,,,,,,open_local_beta,open,0.092678333152452,,,,
0.8,0.3,128.0,,,,,,,open_local_beta,open,0.0460525355540082,1.0089515069306756,,,
0.8,0.3,256.0,,,,,,,open_local_beta,open,0.0279197187414743,0.7219961820486015,,,
0.8,0.3,512.0,,,,,,,open_local_beta,open,0.015982478523628,0.8047932529257217,,,
0.8,0.3,1024.0,,,,,,,open_local_beta,open,0.0091759260361469,0.8005654877638689,,,
0.8,0.3,2048.0,,,,,,,open_local_beta,open,0.0052695735992191,0.8001675350594404,,,
0.8,0.3,4096.0,,,,,,,open_local_beta,open,0.0030264835749521,0.8000437058831059,,,
0.8,0.3,8192.0,,,,,,,open_local_beta,open,0.0017382450457503,0.8000110437636211,,,
0.8,0.3,16384.0,,,,,,,open_local_beta,open,0.0009983576966089,0.8000027683271247,,,
0.8,0.3,32768.0,,,,,,,open_local_beta,open,0.0005734056466417,0.8000006925442505,,,
1.2,0.3,64.0,,,,,,,open_local_beta,open,0.0164261079431261,,,,
1.2,0.3,128.0,,,,,,,open_local_beta,open,0.0078864460442926,1.0585434694966582,,,
1.2,0.3,256.0,,,,,,,open_local_beta,open,0.0034098157563359,1.2096815214357768,,,
1.2,0.3,512.0,,,,,,,open_local_beta,open,0.0014831436611364,1.2010354400141128,,,
1.2,0.3,1024.0,,,,,,,open_local_beta,open,0.0006454306615968,1.2003243270221782,,,
1.2,0.3,2048.0,,,,,,,open_local_beta,open,0.0002809233134069,1.200085759061497,,,
1.2,0.3,4096.0,,,,,,,open_local_beta,open,0.0001222771314949,1.2000217430597937,,,
1.2,0.3,8192.0,,,,,,,open_local_beta,open,5.32240116076156e-05,1.200005454900709,,,
1.2,0.3,16384.0,,,,,,,open_local_beta,open,2.316707472497501e-05,1.200001364908235,,,
1.2,0.3,32768.0,,,,,,,open_local_beta,open,1.0084052590377332e-05,1.2000003412859568,,,
1.6,0.3,64.0,,,,,,,open_local_beta,open,0.0039461224072865,,,,
1.6,0.3,128.0,,,,,,,open_local_beta,open,0.0012963659026976,1.6059627284490272,,,
1.6,0.3,256.0,,,,,,,open_local_beta,open,0.0004262998330085,1.6045325849059109,,,
1.6,0.3,512.0,,,,,,,open_local_beta,open,0.0001405459866884,1.6008262322299651,,,
1.6,0.3,1024.0,,,,,,,open_local_beta,open,4.635456397306202e-05,1.6002589622533516,,,
1.6,0.3,2048.0,,,,,,,open_local_beta,open,1.5290595353106662e-05,1.6000668101456463,,,
1.6,0.3,4096.0,,,,,,,open_local_beta,open,5.043956524735816e-06,1.600016834581035,,,
1.6,0.3,8192.0,,,,,,,open_local_beta,open,1.663880270579711e-06,1.6000042168996402,,,
1.6,0.3,16384.0,,,,,,,open_local_beta,open,5.488753938613648e-07,1.6000010541180116,,,
1.6,0.3,32768.0,,,,,,,open_local_beta,open,1.81061322881524e-07,1.600000264343192,,,
