alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel,panel,g_theory,g_error,g_ratio,r2,n_points,scaled_error
0.8,0.3,128,20.0,5.99811312581643,0.0001441840507694,1.000402744310735,1.882989904503437e-05,4.76752041057462e-06,2.85158102083274e-05,1.013428161164561e-06,-8.881784196996811e-16,-6.661338147747608e-16,N_rescaling,,,,,,0.0009156164562671
0.8,0.3,256,20.0,5.99811312581643,0.0001441840507694,1.000402744310735,9.904310534315176e-06,8.089340838577773e-07,1.1752610980049816e-05,2.6228352030533224e-07,-8.881784196996811e-16,-1.1102230246246014e-15,N_rescaling,,,,,,0.0008388236107379
0.8,0.3,512,20.0,5.99811312581643,0.0001441840507694,1.000402744310735,5.976862785903143e-06,1.9627456779362659e-07,4.74645151231378e-06,7.081310017761024e-08,-8.881784196996811e-16,-1.7763568393993622e-15,N_rescaling,,,,,,0.0008816586709021
0.8,0.3,1024,20.0,5.99811312581643,0.0001441840507694,1.000402744310735,3.5895688925474367e-06,5.2720253044847856e-08,2.1134183851667567e-06,1.9163501960087025e-08,-8.881784196996811e-16,-4.4408920984984055e-16,N_rescaling,,,,,,0.0009222534532758
0.8,0.3,128,25.0,7.497641407270537,0.0006458832800269,1.001805258102964,9.1055375031275e-05,1.3784149885428388e-05,0.0001690590780252,1.4321681594018351e-05,-4.4408920984984055e-16,-1.1102230246246014e-15,N_rescaling,,,,,,0.0044276286139834
0.8,0.3,256,25.0,7.497641407270537,0.0006458832800269,1.001805258102964,4.3666033623960975e-05,2.0116976628837463e-06,6.586390826876927e-05,3.918121681901324e-07,-4.4408920984984055e-16,-1.3322676295495217e-15,N_rescaling,,,,,,0.003698197856797
0.8,0.3,512,25.0,7.497641407270537,0.0006458832800269,1.001805258102964,2.5490199799188084e-05,5.622066509576772e-07,2.657019146404477e-05,5.17317205354862e-08,-4.4408920984984055e-16,-1.9984014443242827e-15,N_rescaling,,,,,,0.0037601090205696
0.8,0.3,1024,25.0,7.497641407270537,0.0006458832800269,1.001805258102964,1.531498594451212e-05,1.631015143389718e-07,1.1827720897914858e-05,2.4364738817865145e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,N_rescaling,,,,,,0.0039348175496844
0.8,0.3,128,30.0,8.997169688724645,0.0028932692240341,1.0081098306132543,0.0004782459704864,8.15659009035526e-05,0.0009468816456618,0.0001592845079168,-8.881784196996811e-16,-1.554312234474442e-15,N_rescaling,,,,,,0.0232550307186209
0.8,0.3,256,30.0,8.997169688724645,0.0028932692240341,1.0081098306132543,0.0002022354869733,4.865613495023273e-06,0.0003547917731457,4.899940019935106e-06,-8.881784196996811e-16,-1.9984014443242827e-15,N_rescaling,,,,,,0.0171278859658682
0.8,0.3,512,30.0,8.997169688724645,0.0028932692240341,1.0081098306132543,0.0001108837186611,1.887537128342504e-06,0.0001427878202736,2.7647234018870894e-07,-8.881784196996811e-16,-2.664535259099044e-15,N_rescaling,,,,,,0.0163566733119598
0.8,0.3,1024,30.0,8.997169688724645,0.0028932692240341,1.0081098306132543,6.589937653564721e-05,6.846895699218415e-07,6.354771559077276e-05,1.0192116475514553e-07,-8.881784196996811e-16,-8.881784196996811e-16,N_rescaling,,,,,,0.0169312609391355
