alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel,panel,g_theory,g_error,g_ratio,r2,n_points,scaled_error
0.8,0.15,128,,,,,,,,,,,g_error,0.1488467493905591,0.1393291312412654,0.9360576016052568,0.999867393657439,253.0,
0.8,0.15,256,,,,,,,,,,,g_error,0.1488467493905591,0.1594774117215463,1.0714201846833311,0.9998469389631972,268.0,
0.8,0.15,512,,,,,,,,,,,g_error,0.1488467493905591,0.159748075965835,1.0732385935192437,0.9999903761874952,302.0,
0.8,0.15,1024,,,,,,,,,,,g_error,0.1488467493905591,0.1619475443986661,1.0880153249012638,0.9999832080693324,309.0,
0.8,0.3,128,,,,,,,,,,,g_error,0.2999056562908215,0.2908973159717978,0.9699627528522232,0.99994738871336,153.0,
0.8,0.3,256,,,,,,,,,,,g_error,0.2999056562908215,0.2847542787588321,0.9494795205953136,0.9999777394267556,153.0,
0.8,0.3,512,,,,,,,,,,,g_error,0.2999056562908215,0.287131769824861,0.9574069838363652,0.999990140083494,153.0,
0.8,0.3,1024,,,,,,,,,,,g_error,0.2999056562908215,0.2896456852695416,0.965789338059931,0.9999872925040534,153.0,
1.2,0.15,128,,,,,,,,,,,g_error,0.1468434516569534,0.1724096697375923,1.174105265111618,0.9980845775106496,313.0,
1.2,0.15,256,,,,,,,,,,,g_error,0.1468434516569534,0.1686063572819728,1.1482048084504344,0.9980739478231132,313.0,
1.2,0.15,512,,,,,,,,,,,g_error,0.1468434516569534,0.1652054954281084,1.125045029682708,0.997851139781218,313.0,
1.2,0.15,1024,,,,,,,,,,,g_error,0.1468434516569534,0.1672830763172736,1.1391933002778365,0.9985161452245088,283.0,
1.2,0.3,128,,,,,,,,,,,g_error,0.2980904795342038,0.2983309551901879,1.0008067203500088,0.9990202859193442,154.0,
1.2,0.3,256,,,,,,,,,,,g_error,0.2980904795342038,0.2906003318305833,0.9748729053161156,0.9993706952330866,154.0,
1.2,0.3,512,,,,,,,,,,,g_error,0.2980904795342038,0.2892495062970164,0.9703413096218226,0.99945912128958,148.0,
1.2,0.3,1024,,,,,,,,,,,g_error,0.2980904795342038,0.2931469876039523,0.983416136141026,0.9995428672776152,118.0,
1.6,0.15,128,,,,,,,,,,,g_error,0.1499447723013107,0.1571969593428126,1.0483657211265014,0.999979067468306,307.0,
1.6,0.15,256,,,,,,,,,,,g_error,0.1499447723013107,0.1549003364717018,1.033049262700756,0.9999990850457582,272.0,
1.6,0.15,512,,,,,,,,,,,g_error,0.1499447723013107,0.1541405837071742,1.0279823787216278,0.9999999591418524,201.0,
1.6,0.15,1024,,,,,,,,,,,g_error,0.1499447723013107,0.1539535690405776,1.026735155069037,0.9999999938411792,129.0,
1.6,0.3,128,,,,,,,,,,,g_error,0.2989848978959758,0.2904080076980508,0.971313299573716,0.9999002099818596,145.0,
1.6,0.3,256,,,,,,,,,,,g_error,0.2989848978959758,0.2877206626573693,0.9623250695340284,0.9999157619134454,105.0,
1.6,0.3,512,,,,,,,,,,,g_error,0.2989848978959758,0.2898150950412862,0.9693302139364912,0.9999600823818944,66.0,
1.6,0.3,1024,,,,,,,,,,,g_error,0.2989848978959758,0.2936248152427616,0.9820723966630612,0.9999923083951318,27.0,
