alpha,beta,beta_min,beta_max,panel,rho,g_ratio,threshold,n_points,slope_Z_vs_lnN,intercept,r2,predicted_slope_beta_over_g,slope_ratio,N,corrected,open,reduction
0.8,0.7974247371895447,0.7943285854760255,0.8005208889030638,spatial,,,,,,,,,,,,,
1.2,1.200615377049365,1.2001532722697053,1.2010774818290246,spatial,,,,,,,,,,,,,
1.6,1.6001801212918645,1.6001219098981472,1.6002383326855818,spatial,,,,,,,,,,,,,
0.8,,,,temporal,0.15,1.0723293891012875,,,,,,,,,,,
0.8,,,,temporal,0.3,0.9615981609481481,,,,,,,,,,,
1.2,,,,temporal,0.15,1.1436990543641354,,,,,,,,,,,
1.2,,,,temporal,0.3,0.9791445207285707,,,,,,,,,,,
1.6,,,,temporal,0.15,1.0305158207111917,,,,,,,,,,,
1.6,,,,temporal,0.3,0.9703217567551037,,,,,,,,,,,
0.8,,,,horizon,0.15,,1e-05,4.0,4.198242568986883,9.140000000000004,0.9867855270057684,5.336553124124908,0.7866955451090565,,,,
0.8,,,,horizon,0.3,,1e-05,4.0,2.7122666768712507,4.8700000000000045,0.9967287084038352,2.6692423837674832,1.0161185411131683,,,,
1.2,,,,horizon,0.15,,1e-05,4.0,7.646283716711505,2.45000000000001,0.9993596129215884,8.17930570465551,0.9348328565784478,,,,
1.2,,,,horizon,0.3,,1e-05,4.0,3.9241305112179816,4.479999999999997,0.9987041036717064,4.026137547717273,0.9746637974261144,,,,
1.6,,,,horizon,0.15,,1e-05,4.0,11.036617062800572,-1.850000000000016,0.9989246485905218,10.672184885978808,1.0341478507648942,,,,
1.6,,,,horizon,0.3,,1e-05,4.0,5.193702147200269,4.600000000000001,0.999383096853794,5.351848608938331,0.970450124191866,,,,
,,,,correction_efficiency,,,,,,,,,,128.0,0.003507997204639,0.0162779737339026,0.7844942336199503
,,,,correction_efficiency,,,,,,,,,,256.0,0.0019331112963973,0.0085476670246052,0.7738434018507422
,,,,correction_efficiency,,,,,,,,,,512.0,0.0011903064678752,0.0031926622747968,0.6271743249288846
