Z,tau,reference_mode_amplitude,reference_max_intensity,reference_power_rel
0.0,0.0,4.999999999836233e-07,1.000002000001,0.0
0.1,0.0299905656290821,5.004612102696646e-07,1.000002000900503,0.0
0.2,0.0599811312581643,5.018439524140961e-07,1.0000020035998234,0.0
0.3,0.0899716968872464,5.04145590470968e-07,1.0000020081013878,0.0
0.4,0.1199622625163286,5.073618307091374e-07,1.0000020144092467,0.0
0.5,0.1499528281454107,5.11486864935351e-07,1.000002022529073,0.0
0.6,0.1799433937744929,5.165135610242005e-07,1.000002032468171,-4.4408920984984055e-16
0.7000000000000001,0.209933959403575,5.224336905813301e-07,1.0000020442354816,-4.4408920984984055e-16
0.8,0.2399245250326572,5.292381838570586e-07,1.0000020578415882,-4.4408920984984055e-16
0.9,0.2699150906617393,5.369174003275144e-07,1.00000207329873,0.0
1.0,0.2999056562908215,5.454614046779339e-07,1.0000020906208114,-2.2204460492492028e-16
1.1,0.3298962219199037,5.548602384671444e-07,1.0000021098234133,0.0
1.2,0.3598867875489858,5.651041792769674e-07,1.0000021309238083,0.0
1.3,0.389877353178068,5.761839812541723e-07,1.0000021539409758,0.0
1.4,0.4198679188071501,5.880910921446808e-07,1.0000021788956217,0.0
1.5,0.4498584844362322,6.008178438744337e-07,1.0000022058101914,0.0
1.6,0.4798490500653144,6.143576159909625e-07,1.0000022347088957,0.0
1.7,0.5098396156943965,6.287049714315214e-07,1.000002265617728,0.0
1.8,0.5398301813234787,6.438557660877991e-07,1.000002298564492,0.0
1.9,0.5698207469525609,6.598072338066631e-07,1.0000023335788233,0.0
2.0,0.599811312581643,6.765580495999224e-07,1.0000023706922172,0.0
2.1,0.6298018782107252,6.941083732744246e-07,1.0000024099380578,0.0
2.2,0.6597924438398074,7.124598765303913e-07,1.0000024513516466,0.0
2.3000000000000003,0.6897830094688895,7.316157562987448e-07,1.000002494970236,0.0
2.4,0.7197735750979716,7.515807367225991e-07,1.000002540833061,0.0
2.5,0.7497641407270538,7.723610622843445e-07,1.0000025889813762,0.0
2.6,0.779754706356136,7.939644842969148e-07,1.00000263945849,0.0
2.7,0.8097452719852181,8.16400242482589e-07,1.0000026923098082,0.0
2.8000000000000003,0.8397358376143003,8.396790431974112e-07,1.00000274758287,0.0
2.9,0.8697264032433824,8.638130359518454e-07,1.0000028053273933,-2.2204460492492028e-16
3.0,0.8997169688724644,8.888157892483116e-07,1.0000028655953217,0.0
3.1,0.9297075345015466,9.147022663367452e-07,1.0000029284408651,-2.2204460492492028e-16
3.2,0.9596981001306288,9.414888020508072e-07,1.000002993920555,0.0
3.3000000000000003,0.989688665759711,9.69193081249815e-07,1.0000030620932894,-2.2204460492492028e-16
3.4,1.019679231388793,9.978341189422952e-07,1.0000031330203911,0.0
3.5,1.0496697970178752,1.027432243012003e-06,1.00000320676566,-4.4408920984984055e-16
3.6,1.0796603626469574,1.0580090791246353e-06,1.0000032833954298,0.0
3.7,1.1096509282760396,1.0895875385767568e-06,1.0000033629786305,0.0
3.8,1.1396414939051218,1.1221918088396624e-06,1.0000034455868476,0.0
3.9,1.1696320595342038,1.155847346903189e-06,1.0000035312943885,-4.4408920984984055e-16
4.0,1.199622625163286,1.1905808754311392e-06,1.000003620178347,-4.4408920984984055e-16
4.1,1.229613190792368,1.2264203818624845e-06,1.0000037123186751,0.0
4.2,1.2596037564214504,1.2633951202630297e-06,1.0000038077982552,0.0
4.3,1.2895943220505324,1.3015356158857458e-06,1.000003906702971,-4.4408920984984055e-16
4.4,1.3195848876796148,1.340873672451267e-06,1.0000040091217886,-2.2204460492492028e-16
4.5,1.3495754533086968,1.3814423820737594e-06,1.0000041151468348,0.0
4.6000000000000005,1.379566018937779,1.4232761376738015e-06,1.0000042248734806,0.0
4.7,1.4095565845668612,1.4664106479872334e-06,1.0000043384004258,0.0
4.8,1.4395471501959431,1.510882954951485e-06,1.0000044558297896,0.0
4.9,1.4695377158250251,1.556731453312202e-06,1.0000045772672006,-2.2204460492492028e-16
5.0,1.4995282814541075,1.603995912796058e-06,1.0000047028218944,-4.4408920984984055e-16
