alpha,rho,N,q_c,period,open_error,corrected_error,naive_periodic_error,exact_periodic_error
0.8,0.3,64,0.09817477042468103,64,0.09267833315245207,0.008676521248650076,0.09035822060481413,0.0
0.8,0.15,128,0.04908738521234052,128,0.05323680854930641,0.004988499230393287,0.05188878797187167,0.0
0.8,0.3,128,0.09817477042468103,64,0.04605253555400829,0.0022230399837129345,0.046244299251634896,0.0
0.8,0.15,256,0.04908738521234052,128,0.026449650354249732,0.0012776651529746957,0.026560375601700353,0.0
0.8,0.3,256,0.09817477042468103,64,0.027919718741474392,0.00037150509809806933,0.027148981477615908,0.0
0.8,0.15,512,0.04908738521234052,128,0.016036519202698087,0.00021306300713547932,0.015592995233654094,0.0
0.8,0.3,512,0.09817477042468103,64,0.015982478523628,5.674491340955802e-05,0.01569279362148812,0.0
0.8,0.15,1024,0.04908738521234052,128,0.009179480422955941,3.228607657371751e-05,0.009013143116631539,0.0
0.8,0.3,1024,0.09817477042468103,64,0.00917592603614698,8.606998628467644e-06,0.009028277090005754,0.0
0.8,0.15,2048,0.04908738521234052,128,0.005270179234075978,4.753814691079052e-06,0.0051853835219469735,0.0
0.8,0.3,2048,0.09817477042468103,64,0.005269573599219168,1.4195499994585452e-06,0.005187589724289843,0.0
0.8,0.15,4096,0.04908738521234052,128,0.003026574346078247,7.132586895843969e-07,0.002979487891499766,0.0
0.8,0.3,4096,0.09817477042468103,64,0.0030264835749521084,2.8455158966910456e-07,0.0029798059135250354,0.0
0.8,0.15,8192,0.04908738521234052,128,0.001738258220169157,1.1727551391331545e-07,0.0017114490755604506,0.0
0.8,0.3,8192,0.09817477042468103,64,0.0017382450457503874,7.011679936006681e-08,0.0017114947844494854,0.0
0.8,0.15,16384,0.04908738521234052,128,0.0009983595933821417,2.3482078152610505e-08,0.0009829956217447255,0.0
0.8,0.3,16384,0.09817477042468103,64,0.0009983576966089759,1.9212424285217847e-08,0.000983002186578985,0.0
0.8,0.15,32768,0.04908738521234052,128,0.0005734059191774085,5.783637688768793e-09,0.0005645864973413128,0.0
0.8,0.3,32768,0.09817477042468103,64,0.0005734056466417799,5.449004123064106e-09,0.000564587440026243,0.0
1.2,0.15,64,0.09817477042468103,64,0.020954677629079172,0.0030939972680397608,0.020042764953690673,0.0
1.2,0.3,64,0.19634954084936207,64,0.016426107943126163,0.0014608724516887658,0.01654832877146939,0.0
1.2,0.15,128,0.09817477042468103,64,0.007148759251147049,0.0006377544295386165,0.007203081420970661,0.0
1.2,0.3,128,0.19634954084936207,64,0.007886446044292632,0.00019286242238968334,0.007486825543950859,0.0
1.2,0.15,256,0.09817477042468103,64,0.0034341273805088596,8.348995758938528e-05,0.0032588304190258044,0.0
1.2,0.3,256,0.19634954084936207,64,0.003409815756335966,2.3292218471856583e-05,0.003296630089103747,0.0
1.2,0.15,512,0.09817477042468103,64,0.0014841547975439524,9.790582574405493e-06,0.0014349416255419467,0.0
1.2,0.3,512,0.19634954084936207,64,0.0014831436611364884,2.9489694213799608e-06,0.0014393438948739345,0.0
1.2,0.15,1024,0.09817477042468103,64,0.0006455696980061832,1.1288015191134956e-06,0.0006265108230405492,0.0
1.2,0.3,1024,0.19634954084936207,64,0.0006454306615968328,4.482888486299324e-07,0.0006269990769365297,0.0
1.2,0.15,2048,0.09817477042468103,64,0.0002809393448992372,1.4081717232575908e-07,0.00027291720022139254,0.0
1.2,0.3,2048,0.19634954084936207,64,0.00028092331340692653,8.36071138534641e-08,0.0002729705937852822,0.0
1.2,0.15,4096,0.09817477042468103,64,0.00012227890147132586,2.1295344331734624e-08,0.00011881735213675748,0.0
1.2,0.3,4096,0.19634954084936207,64,0.00012227713149497968,1.735108812199023e-08,0.00011882316958694572,0.0
1.2,0.15,8192,0.09817477042468103,64,5.3224204913233826e-05,3.963623082816529e-09,5.1720788613277e-05,0.0
1.2,0.3,8192,0.19634954084936207,64,5.3224011607615596e-05,3.728821987898384e-09,5.172142185849715e-05,0.0
1.2,0.15,16384,0.09817477042468103,64,2.3167095779240195e-05,8.220462419350796e-10,2.2513056467318715e-05,0.0
1.2,0.3,16384,0.19634954084936207,64,2.3167074724975014e-05,8.089304461937969e-10,2.251312538165129e-05,0.0
1.2,0.15,32768,0.09817477042468103,64,1.0084054882170391e-05,1.7663047852573262e-10,9.79940699141757e-06,0.0
1.2,0.3,32768,0.19634954084936207,64,1.0084052590377332e-05,1.759120957914214e-10,9.799414490696545e-06,0.0
1.6,0.15,64,0.19634954084936207,64,0.003403518294513757,0.00048349133636547997,0.00344280288024143,0.0
1.6,0.3,64,0.2945243112740431,64,0.00394612240728655,0.0002817228444454254,0.0038937423968247176,0.0
1.6,0.15,128,0.19634954084936207,64,0.0013094535837565847,5.008765833634064e-05,0.0012041413935623135,0.0
1.6,0.3,128,0.2945243112740431,64,0.0012963659026976285,2.462985501161804e-05,0.0012199892745852203,0.0
1.6,0.15,256,0.19634954084936207,64,0.00042662262198866704,4.646547704753562e-06,0.0004043955207203298,0.0
1.6,0.3,256,0.2945243112740431,64,0.0004262998330085637,2.4728199127240333e-06,0.00040583167871244274,0.0
1.6,0.15,512,0.19634954084936207,64,0.00014058154741997876,4.463634618288388e-07,0.00013404343719744527,0.0
1.6,0.3,512,0.2945243112740431,64,0.00014054598668847065,2.971581076416916e-07,0.0001341651027470525,0.0
1.6,0.15,1024,0.19634954084936207,64,4.6357768625107304e-05,5.120515083022943e-08,4.4272094869235445e-05,0.0
1.6,0.3,1024,0.2945243112740431,64,4.635456397306202e-05,4.309215102548564e-08,4.4282198995326816e-05,0.0
1.6,0.15,2048,0.19634954084936207,64,1.529086552728298e-05,7.211400652849804e-09,1.4608846081037852e-05,0.0
1.6,0.3,2048,0.2945243112740431,64,1.5290595353106662e-05,6.83979878886581e-09,1.4609680835664385e-05,0.0
1.6,0.15,4096,0.19634954084936207,64,5.0439789286909994e-06,1.132613765700848e-09,4.819493774482764e-06,0.0
1.6,0.3,4096,0.2945243112740431,64,5.0439565247358156e-06,1.1168128998732866e-09,4.819562646585229e-06,0.0
1.6,0.15,8192,0.19634954084936207,64,1.6638821205440097e-06,1.8439169901830856e-10,1.5898707126649203e-06,0.0
1.6,0.3,8192,0.2945243112740431,64,1.663880270579711e-06,1.837350835200834e-10,1.5898763930932702e-06,0.0
1.6,0.15,16384,0.19634954084936207,64,5.488755464232822e-07,3.031316540023705e-11,5.244642753976514e-07,0.0
1.6,0.3,16384,0.2945243112740431,64,5.488753938613648e-07,3.0285861013602877e-11,5.244647438562566e-07,0.0
1.6,0.15,32768,0.19634954084936207,64,1.8106133563814288e-07,5.005511502245903e-12,1.7300889873506087e-07,0.0
1.6,0.3,32768,0.2945243112740431,64,1.8106132288152393e-07,5.031939963005608e-12,1.730089373985777e-07,0.0
