alpha,rho,closure,beta,logA,r2,N_min,N_max,n_points
0.8,0.15,open,0.7943285854760255,0.8029481349421861,0.9998720429015477,256,32768,8
0.8,0.15,corrected,2.315918311368251,5.009319635252407,0.9968409316873754,4096,32768,4
0.8,0.15,naive_periodic,0.7954670035225004,0.7969465806471785,0.9999705703640047,256,32768,8
0.8,0.3,open,0.8005208889030638,0.8585797490884524,0.9999994465385613,256,32768,8
0.8,0.3,corrected,1.8987382107481938,0.6821689218951512,0.9993998464254573,4096,32768,4
0.8,0.3,naive_periodic,0.7987398436763643,0.8268529862044991,0.9999976048641126,256,32768,8
1.2,0.15,open,1.2010774818290246,0.9818714813386968,0.9999988878598888,256,32768,8
1.2,0.15,corrected,2.301050813554666,1.4352853308019853,0.9995740691932821,4096,32768,4
1.2,0.15,naive_periodic,1.197712236534724,0.9225845999445514,0.9999965089296774,256,32768,8
1.2,0.3,open,1.2001532722697053,0.9734947017143956,0.9999999857779698,256,32768,8
1.2,0.3,corrected,2.2076715288140294,0.48997525088330107,0.9999967989805943,4096,32768,4
1.2,0.3,naive_periodic,1.1994034386890442,0.9380199079278118,0.999999757490039,256,32768,8
1.6,0.15,open,1.6002383326855818,1.1132820881460006,0.9999999814816113,256,32768,8
1.6,0.15,corrected,2.6070525548670074,1.0823059435743296,0.9999968358052432,4096,32768,4
1.6,0.15,naive_periodic,1.599062795075491,1.0570607367597376,0.9999996638524902,256,32768,8
1.6,0.3,open,1.6001219098981472,1.1122162359573586,0.999999994904482,256,32768,8
1.6,0.3,corrected,2.598308205615922,0.997167927386446,0.9999983887054977,4096,32768,4
1.6,0.3,naive_periodic,1.59957911646355,1.0617710145713275,0.9999999318439265,256,32768,8
