alpha,rho,closure,N,error,beta_local
0.8,0.15,open,128,0.05323680854930641,
0.8,0.15,open,256,0.026449650354249732,1.0091754358224112
0.8,0.15,open,512,0.016036519202698087,0.7218876186092782
0.8,0.15,open,1024,0.009179480422955941,0.8048766308203358
0.8,0.15,open,2048,0.005270179234075978,0.8005604690475439
0.8,0.15,open,4096,0.003026574346078247,0.8001662369962359
0.8,0.15,open,8192,0.001738258220169157,0.8000433784607239
0.8,0.15,open,16384,0.0009983595933821417,0.8000109617227018
0.8,0.15,open,32768,0.0005734059191774085,0.8000027478058489
0.8,0.15,corrected,128,0.004988499230393287,
0.8,0.15,corrected,256,0.0012776651529746957,1.9650960637202644
0.8,0.15,corrected,512,0.00021306300713547932,2.5841577548055903
0.8,0.15,corrected,1024,3.228607657371751e-05,2.722296088871668
0.8,0.15,corrected,2048,4.753814691079052e-06,2.763754562656548
0.8,0.15,corrected,4096,7.132586895843969e-07,2.736588343251359
0.8,0.15,corrected,8192,1.1727551391331545e-07,2.604523595289057
0.8,0.15,corrected,16384,2.3482078152610505e-08,2.3202698258580545
0.8,0.15,corrected,32768,5.783637688768793e-09,2.021511008127707
0.8,0.15,naive_periodic,128,0.05188878797187167,
0.8,0.15,naive_periodic,256,0.026560375601700353,0.9661472889259999
0.8,0.15,naive_periodic,512,0.015592995233654094,0.7683774689492774
0.8,0.15,naive_periodic,1024,0.009013143116631539,0.7907958756000387
0.8,0.15,naive_periodic,2048,0.0051853835219469735,0.7975796011731688
0.8,0.15,naive_periodic,4096,0.002979487891499766,0.7993863133474319
0.8,0.15,naive_periodic,8192,0.0017114490755604506,0.7998460190519961
0.8,0.15,naive_periodic,16384,0.0009829956217447255,0.7999614694262156
0.8,0.15,naive_periodic,32768,0.0005645864973413128,0.799990365141948
0.8,0.3,open,64,0.09267833315245207,
0.8,0.3,open,128,0.04605253555400829,1.0089515069306756
0.8,0.3,open,256,0.027919718741474392,0.7219961820486015
0.8,0.3,open,512,0.015982478523628,0.8047932529257217
0.8,0.3,open,1024,0.00917592603614698,0.8005654877638689
0.8,0.3,open,2048,0.005269573599219168,0.8001675350594404
0.8,0.3,open,4096,0.0030264835749521084,0.8000437058831059
0.8,0.3,open,8192,0.0017382450457503874,0.8000110437636211
0.8,0.3,open,16384,0.0009983576966089759,0.8000027683271247
0.8,0.3,open,32768,0.0005734056466417799,0.8000006925442505
0.8,0.3,corrected,64,0.008676521248650076,
0.8,0.3,corrected,128,0.0022230399837129345,1.9645828296352938
0.8,0.3,corrected,256,0.00037150509809806933,2.581079983127836
0.8,0.3,corrected,512,5.674491340955802e-05,2.710819028017434
0.8,0.3,corrected,1024,8.606998628467644e-06,2.720908931570123
0.8,0.3,corrected,2048,1.4195499994585452e-06,2.600076574301568
0.8,0.3,corrected,4096,2.8455158966910456e-07,2.318671520300232
