N,Z,closure,realization,max_finite,max_ref,delta_max
128,15.0,open,0,1.0125007810470499,1.0112025716109607,0.0012982094360891594
128,15.0,open,1,1.0333450712056378,1.0397458655906429,-0.006400794385005071
128,15.0,open,2,1.0246878584707426,1.0184346506719384,0.006253207798804228
128,15.0,open,3,1.0337957380031644,1.0371964985212958,-0.0034007605181314293
128,15.0,open,4,1.044406207565339,1.044067610131763,0.0003385974335761155
128,15.0,open,5,1.0207467457817434,1.0170858570816645,0.003660888700078857
128,15.0,open,6,1.0326966034397353,1.0275175327059125,0.005179070733822844
128,15.0,open,7,1.0188194617794288,1.0138113254560528,0.0050081363233760445
128,15.0,open,8,1.0203593645484086,1.024688825256988,-0.0043294607085793135
128,15.0,open,9,1.002203985418419,1.0044782635455063,-0.002274278127087248
128,15.0,open,10,1.0338948996754094,1.0241278520426553,0.009767047632754045
128,15.0,open,11,1.0229397248490022,1.0206643992535958,0.002275325595406441
128,15.0,open,12,1.0252186409403616,1.023511467901105,0.0017071730392566042
128,15.0,open,13,1.0062140256908605,1.0082089957563,-0.001994970065439583
128,15.0,open,14,1.02697155338682,1.0203326603056262,0.0066388930811938085
128,15.0,open,15,1.0028701625993979,0.9954607109856722,0.007409451613725637
128,15.0,open,16,1.0166330555478622,1.0139843208605601,0.00264873468730209
128,15.0,open,17,1.0083157859403586,0.9942321914441581,0.014083594496200558
128,15.0,open,18,1.0202141656260075,1.0116460088264434,0.00856815679956413
128,15.0,open,19,1.031102213305304,1.019390844245665,0.011711369059639098
128,15.0,open,20,1.0071158978355603,1.003673134647953,0.0034427631876072784
128,15.0,open,21,1.0072801637687918,1.0082901163704932,-0.001009952601701336
128,15.0,open,22,1.0050955750706558,1.0017081102456575,0.0033874648249982986
128,15.0,open,23,1.0154086681004557,1.0202473770189837,-0.004838708918528001
128,15.0,open,24,1.025762226349428,1.0207186533251371,0.005043573024290815
128,15.0,open,25,1.0004274955420858,1.004272546985012,-0.0038450514429262395
128,15.0,open,26,1.0296796251952332,1.032387295020272,-0.002707669825038783
128,15.0,open,27,1.0203297420095825,1.0221931882227353,-0.0018634462131528196
128,15.0,open,28,1.031573257046513,1.028138489670359,0.003434767376154113
128,15.0,open,29,1.0179154601623883,1.0190800194158889,-0.0011645592535005633
128,15.0,open,30,1.0267750761453693,1.0309495098635577,-0.004174433718188375
128,15.0,open,31,1.019876127812065,1.0170122455944912,0.002863882217573721
128,15.0,open,32,1.0225105573962379,1.0249572148476327,-0.002446657451394829
128,15.0,open,33,1.0179887552733453,1.010722286250731,0.007266469022614297
128,15.0,open,34,1.0293493963258438,1.0235013601980014,0.005848036127842349
128,15.0,open,35,1.0433564241091906,1.0433238158110112,3.260829817941513e-05
128,15.0,open,36,1.0089339800827504,1.0005944624867384,0.008339517596011925
128,15.0,open,37,1.0308399435205746,1.0246477164987393,0.006192227021835306
128,15.0,open,38,1.0133593503533536,1.004063110830091,0.009296239523262528
128,15.0,open,39,1.0317101939564544,1.0218834225575024,0.009826771398951939
128,15.0,open,40,1.0142146500563618,1.0141872152820235,2.7434774338308543e-05
128,15.0,open,41,1.026386849353193,1.0236141931131546,0.002772656240038307
128,15.0,open,42,1.0465825423195494,1.0614362501237775,-0.014853707804228122
128,15.0,open,43,1.0558296184681122,1.051121054236834,0.0047085642312780784
128,15.0,open,44,1.01808235358484,1.0162423312441524,0.001840022340687586
128,15.0,open,45,1.0026590663497863,1.004190810613794,-0.0015317442640077061
128,15.0,open,46,1.0146686219496959,1.0119964093557232,0.002672212593972656
128,15.0,open,47,1.0273042231302225,1.026909639248946,0.0003945838812764446
128,15.0,open,48,1.0215420733844272,1.0211556097372803,0.0003864636471468952
128,15.0,open,49,1.0173419630726819,1.0153210442734648,0.002020918799217064
128,15.0,open,50,1.0206583593977199,1.022016799465869,-0.0013584400681492248
128,15.0,open,51,1.0171988587883025,1.021928729743547,-0.004729870955244575
128,15.0,open,52,1.0095192129340262,1.00578686575275,0.003732347181276241
128,15.0,open,53,1.0160649778030033,1.0130882194880702,0.002976758314933159
128,15.0,open,54,1.0237008770600728,1.025793917628007,-0.0020930405679342456
128,15.0,open,55,1.0109563742274295,1.0061063534276609,0.004850020799768595
128,15.0,open,56,1.021349110753744,1.015183241637211,0.0061658691165329405
128,15.0,open,57,1.0256817098730922,1.0246519572796233,0.0010297525934688245
128,15.0,open,58,1.0448466262220895,1.0381297328208872,0.006716893401202295
128,15.0,open,59,0.9970775838565696,0.9983911306322194,-0.0013135467756497654
128,15.0,open,60,1.0092632863774111,1.00887648828042,0.00038679809699115886
128,15.0,open,61,1.0248615900019729,1.0242244551951165,0.0006371348068563432
128,15.0,open,62,1.0267722674056694,1.0271640342227597,-0.0003917668170902999
128,15.0,open,63,1.0205527370617293,1.0219693829215615,-0.001416645859832144
128,15.0,corrected,0,1.0108929441021701,1.0112025716109607,-0.00030962750879059975
128,15.0,corrected,1,1.0390935766966303,1.0397458655906429,-0.000652288894012587
128,15.0,corrected,2,1.0184483653787,1.0184346506719384,1.37147067615917e-05
128,15.0,corrected,3,1.0375001828205528,1.0371964985212958,0.0003036842992569788
128,15.0,corrected,4,1.0445409115915603,1.044067610131763,0.0004733014597972929
128,15.0,corrected,5,1.0175524493874366,1.0170858570816645,0.00046659230577206223
128,15.0,corrected,6,1.0273030287500065,1.0275175327059125,-0.00021450395590605353
128,15.0,corrected,7,1.0132686538461957,1.0138113254560528,-0.0005426716098571038
128,15.0,corrected,8,1.0251144624169592,1.024688825256988,0.0004256371599713482
128,15.0,corrected,9,1.0047438842714012,1.0044782635455063,0.0002656207258948662
128,15.0,corrected,10,1.0238453045723808,1.0241278520426553,-0.0002825474702745634
128,15.0,corrected,11,1.020727168736334,1.0206643992535958,6.276948273820082e-05
128,15.0,corrected,12,1.0232584223293593,1.023511467901105,-0.00025304557174576914
128,15.0,corrected,13,1.0079948992506378,1.0082089957563,-0.00021409650566228677
128,15.0,corrected,14,1.021361189686865,1.0203326603056262,0.001028529381238874
128,15.0,corrected,15,0.9957524233367694,0.9954607109856722,0.0002917123510971509
128,15.0,corrected,16,1.014261780459122,1.0139843208605601,0.0002774595985619577
128,15.0,corrected,17,0.9944316422805254,0.9942321914441581,0.00019945083636729866
128,15.0,corrected,18,1.0118447709632294,1.0116460088264434,0.00019876213678604593
128,15.0,corrected,19,1.0189195598168872,1.019390844245665,-0.0004712844287777518
128,15.0,corrected,20,1.003641557903078,1.003673134647953,-3.157674487508366e-05
128,15.0,corrected,21,1.0085475306117833,1.0082901163704932,0.00025741424129011037
128,15.0,corrected,22,1.00196165699755,1.0017081102456575,0.0002535467518924861
128,15.0,corrected,23,1.0204775019798946,1.0202473770189837,0.00023012496091090462
128,15.0,corrected,24,1.0211026443701745,1.0207186533251371,0.0003839910450373907
128,15.0,corrected,25,1.003582378700307,1.004272546985012,-0.0006901682847049173
128,15.0,corrected,26,1.0320701965358774,1.032387295020272,-0.00031709848439454014
128,15.0,corrected,27,1.0223423093146788,1.0221931882227353,0.00014912109194353818
128,15.0,corrected,28,1.0280954443467316,1.028138489670359,-4.304532362731095e-05
128,15.0,corrected,29,1.0188177172600532,1.0190800194158889,-0.00026230215583566974
128,15.0,corrected,30,1.030055637422292,1.0309495098635577,-0.0008938724412657084
128,15.0,corrected,31,1.016754179387514,1.0170122455944912,-0.0002580662069773254
128,15.0,corrected,32,1.0248470037474984,1.0249572148476327,-0.00011021110013431645
128,15.0,corrected,33,1.0110188412918513,1.010722286250731,0.00029655504112025
128,15.0,corrected,34,1.023379624790032,1.0235013601980014,-0.0001217354079694477
128,15.0,corrected,35,1.0435991889398237,1.0433238158110112,0.0002753731288125394
128,15.0,corrected,36,0.9999827869875818,1.0005944624867384,-0.0006116754991566387
128,15.0,corrected,37,1.0247581862893107,1.0246477164987393,0.00011046979057138806
