alpha,rho,N,q_c,period,open_error,corrected_error,naive_periodic_error,exact_periodic_error,panel,closure,error,beta_local,beta,beta_min,beta_max
0.8,0.3,64.0,0.098174770424681,64.0,0.092678333152452,0.00867652124865,0.0903582206048141,0.0,closure_scaling,,,,,,
0.8,0.3,128.0,0.098174770424681,64.0,0.0460525355540082,0.0022230399837129,0.0462442992516348,0.0,closure_scaling,,,,,,
0.8,0.3,256.0,0.098174770424681,64.0,0.0279197187414743,0.000371505098098,0.0271489814776159,0.0,closure_scaling,,,,,,
0.8,0.3,512.0,0.098174770424681,64.0,0.015982478523628,5.674491340955802e-05,0.0156927936214881,0.0,closure_scaling,,,,,,
0.8,0.3,1024.0,0.098174770424681,64.0,0.0091759260361469,8.606998628467644e-06,0.0090282770900057,0.0,closure_scaling,,,,,,
0.8,0.3,2048.0,0.098174770424681,64.0,0.0052695735992191,1.4195499994585452e-06,0.0051875897242898,0.0,closure_scaling,,,,,,
0.8,0.3,4096.0,0.098174770424681,64.0,0.0030264835749521,2.845515896691046e-07,0.002979805913525,0.0,closure_scaling,,,,,,
0.8,0.3,8192.0,0.098174770424681,64.0,0.0017382450457503,7.011679936006681e-08,0.0017114947844494,0.0,closure_scaling,,,,,,
0.8,0.3,16384.0,0.098174770424681,64.0,0.0009983576966089,1.9212424285217847e-08,0.0009830021865789,0.0,closure_scaling,,,,,,
0.8,0.3,32768.0,0.098174770424681,64.0,0.0005734056466417,5.449004123064106e-09,0.0005645874400262,0.0,closure_scaling,,,,,,
