alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel,panel,g_theory,g_error,g_ratio,r2,n_points,scaled_error
0.8,0.3,256,0.0,0.0,4.999999999836233e-07,1.000002000001,0.0,0.0,0.0,0.0,0.0,0.0,open_vs_corrected,,,,,,
0.8,0.3,256,0.1,0.0299905656290821,5.004612102696646e-07,1.000002000900503,1.974474926751538e-09,2.636457788158245e-11,9.008053717934827e-12,5.2186661847183065e-12,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.2,0.0599811312581643,5.018439524140961e-07,1.0000020035998234,3.9504661865063734e-09,5.3295549986481506e-11,3.6047745747267286e-11,2.086513185226781e-11,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.3,0.0899716968872464,5.04145590470968e-07,1.0000020081013878,5.929491304615118e-09,8.133600290818974e-11,8.116620117007751e-11,4.6910852998566765e-11,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.4,0.1199622625163286,5.073618307091374e-07,1.0000020144092467,7.913070201578152e-09,1.1098601176970592e-10,1.4444199795230587e-10,8.330921558109968e-11,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.5,0.1499528281454107,5.11486864935351e-07,1.000002022529073,9.90272638211192e-09,1.4268919441257648e-10,2.2598533290239271e-10,1.2999745991952282e-10,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.6,0.1799433937744929,5.165135610242005e-07,1.000002032468171,1.1899988139042133e-08,1.7682639699244247e-10,3.2593821815542073e-10,1.8689859448290315e-10,-4.4408920984984055e-16,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.7000000000000001,0.209933959403575,5.224336905813301e-07,1.0000020442354816,1.3906389759154866e-08,2.1371597290856688e-10,4.444743631060252e-10,2.5392404279259317e-10,-4.4408920984984055e-16,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.8,0.2399245250326572,5.292381838570586e-07,1.0000020578415882,1.5923472729880473e-08,2.536191794048275e-10,5.817998803439523e-10,3.3097700147337034e-10,-4.4408920984984055e-16,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,0.9,0.2699150906617393,5.369174003275144e-07,1.00000207329873,1.795278695324131e-08,2.967489663303776e-10,7.38153245928891e-10,4.179552320045135e-10,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.0,0.2999056562908215,5.454614046779339e-07,1.0000020906208114,1.999589197094324e-08,3.4328023866355687e-10,9.138056429340863e-10,5.147552311660423e-10,-2.2204460492492028e-16,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.1,0.3298962219199037,5.548602384671444e-07,1.0000021098234133,2.205435819127046e-08,3.9336066880543287e-10,1.1090616166233084e-09,6.212749405360949e-10,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.2,0.3598867875489858,5.651041792769674e-07,1.0000021309238083,2.412976812315476e-08,4.47121061507597e-10,1.3242589455532243e-09,7.37417674173425e-10,0.0,-2.2204460492492028e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.3,0.389877353178068,5.761839812541723e-07,1.0000021539409758,2.622371762946605e-08,5.046847668675203e-10,1.559769435117054e-09,8.630955238579115e-10,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.4,0.4198679188071501,5.880910921446808e-07,1.0000021788956217,2.83378171887782e-08,5.661758172876475e-10,1.815999815463909e-09,9.982312503660886e-10,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.5,0.4498584844362322,6.008178438744337e-07,1.0000022058101914,3.047369315090614e-08,6.317259891657838e-10,2.0933914468249644e-09,1.142761579835868e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.6,0.4798490500653144,6.143576159909625e-07,1.0000022347088957,3.263298903794653e-08,7.01480387469845e-10,2.3924216945116484e-09,1.2966393321992531e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.7,0.5098396156943965,6.287049714315214e-07,1.000002265617728,3.4817366823920175e-08,7.75601763257699e-10,2.7136038268159727e-09,1.4598340092931419e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.8,0.5398301813234787,6.438557660877991e-07,1.000002298564492,3.7028508254091966e-08,8.54273676497489e-10,3.0574886317117467e-09,1.632333960653204e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,1.9,0.5698207469525609,6.598072338066631e-07,1.0000023335788233,3.9268116174368775e-08,9.377025130916243e-10,3.424664126283058e-09,1.814145861158527e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.0,0.599811312581643,6.765580495999224e-07,1.0000023706922172,4.1537915874649656e-08,1.0261181967393155e-09,3.8157572225618545e-09,2.0052946391821452e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.1,0.6298018782107252,6.941083732744246e-07,1.0000024099380578,4.383965644586597e-08,1.119774394176622e-09,4.231434072433622e-09,2.205823871805256e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.2,0.6597924438398074,7.124598765303913e-07,1.0000024513516466,4.617511216650518e-08,1.2189475705064435e-09,4.6724012397441814e-09,2.4157932847595502e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.3000000000000003,0.6897830094688895,7.316157562987448e-07,1.000002494970236,4.854608390080089e-08,1.3239353912500079e-09,5.139406391043846e-09,2.635278505462026e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.4,0.7197735750979716,7.515807367225991e-07,1.000002540833061,5.09544005251132e-08,1.4350547354105004e-09,5.63323953229371e-09,2.8643687138699086e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.5,0.7497641407270538,7.723610622843445e-07,1.0000025889813762,5.340192037126365e-08,1.55263944374777e-09,6.154733683503808e-09,3.103165099614093e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.6,0.779754706356136,7.939644842969148e-07,1.00000263945849,5.589053270566045e-08,1.6770376897114435e-09,6.704766662725351e-09,3.351778971310873e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
