alpha,rho,N,closure,threshold,Z_f,g,beta,panel,n_points,slope_Z_vs_lnN,intercept,r2,predicted_slope_beta_over_g,slope_ratio
0.8,0.15,128.0,open,1e-05,29.9,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.15,256.0,open,1e-05,31.8,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.15,512.0,open,1e-05,35.4,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.15,1024.0,open,1e-05,38.4,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.3,128.0,open,1e-05,17.900000000000002,0.2999056562908215,0.8005208889030638,horizons,,,,,,
0.8,0.3,256.0,open,1e-05,20.1,0.2999056562908215,0.8005208889030638,horizons,,,,,,
0.8,0.3,512.0,open,1e-05,21.8,0.2999056562908215,0.8005208889030638,horizons,,,,,,
0.8,0.3,1024.0,open,1e-05,23.6,0.2999056562908215,0.8005208889030638,horizons,,,,,,
1.2,0.15,128.0,open,1e-05,39.4,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.15,256.0,open,1e-05,45.0,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.15,512.0,open,1e-05,50.3,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.15,1024.0,open,1e-05,55.3,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.3,128.0,open,1e-05,23.4,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.2,0.3,256.0,open,1e-05,26.4,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.2,0.3,512.0,open,1e-05,29.0,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.2,0.3,1024.0,open,1e-05,31.6,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.6,0.15,128.0,open,1e-05,51.4,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.15,256.0,open,1e-05,59.7,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.15,512.0,open,1e-05,67.2,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.15,1024.0,open,1e-05,74.4,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.3,128.0,open,1e-05,29.7,0.2989848978959758,1.6001219098981472,horizons,,,,,,
1.6,0.3,256.0,open,1e-05,33.5,0.2989848978959758,1.6001219098981472,horizons,,,,,,
1.6,0.3,512.0,open,1e-05,37.1,0.2989848978959758,1.6001219098981472,horizons,,,,,,
1.6,0.3,1024.0,open,1e-05,40.5,0.2989848978959758,1.6001219098981472,horizons,,,,,,
0.8,0.15,,,1e-05,,,,slope_test,4.0,4.198242568986883,9.140000000000004,0.9867855270057684,5.336553124124908,0.7866955451090565
0.8,0.3,,,1e-05,,,,slope_test,4.0,2.7122666768712507,4.8700000000000045,0.9967287084038352,2.6692423837674832,1.0161185411131683
1.2,0.15,,,1e-05,,,,slope_test,4.0,7.646283716711505,2.45000000000001,0.9993596129215884,8.17930570465551,0.9348328565784478
1.2,0.3,,,1e-05,,,,slope_test,4.0,3.9241305112179816,4.479999999999997,0.9987041036717064,4.026137547717273,0.9746637974261144
1.6,0.15,,,1e-05,,,,slope_test,4.0,11.036617062800572,-1.850000000000016,0.9989246485905218,10.672184885978808,1.0341478507648942
1.6,0.3,,,1e-05,,,,slope_test,4.0,5.193702147200269,4.600000000000001,0.999383096853794,5.351848608938331,0.970450124191866
0.8,0.15,,,1e-05,,,,slope_ratio,4.0,4.198242568986883,9.140000000000004,0.9867855270057684,5.336553124124908,0.7866955451090565
0.8,0.3,,,1e-05,,,,slope_ratio,4.0,2.7122666768712507,4.8700000000000045,0.9967287084038352,2.6692423837674832,1.0161185411131683
1.2,0.15,,,1e-05,,,,slope_ratio,4.0,7.646283716711505,2.45000000000001,0.9993596129215884,8.17930570465551,0.9348328565784478
1.2,0.3,,,1e-05,,,,slope_ratio,4.0,3.9241305112179816,4.479999999999997,0.9987041036717064,4.026137547717273,0.9746637974261144
1.6,0.15,,,1e-05,,,,slope_ratio,4.0,11.036617062800572,-1.850000000000016,0.9989246485905218,10.672184885978808,1.0341478507648942
1.6,0.3,,,1e-05,,,,slope_ratio,4.0,5.193702147200269,4.600000000000001,0.999383096853794,5.351848608938331,0.970450124191866
0.8,0.3,,,1e-05,,,,threshold_sensitivity,4.0,2.7122666768712507,4.8700000000000045,0.9967287084038352,2.6692423837674832,1.0161185411131683
0.8,0.3,,,3e-05,,,,threshold_sensitivity,4.0,2.7699744785068083,8.280000000000012,0.9974025974025972,2.6692423837674832,1.0377380845411075
0.8,0.3,,,0.0001,,,,threshold_sensitivity,4.0,2.957524833822374,11.150000000000006,0.9936162666981913,2.6692423837674832,1.108001600681912
0.8,0.3,,,0.0003,,,,threshold_sensitivity,4.0,3.116221288320162,13.79,0.9931034482758622,2.6692423837674832,1.167455345108747
0.8,0.3,,,0.001,,,,threshold_sensitivity,4.0,3.40476029649795,15.94000000000002,0.9910320284697508,2.6692423837674832,1.2755530622484443
1.2,0.15,,,1e-05,,,,threshold_sensitivity,4.0,7.646283716711505,2.45000000000001,0.9993596129215884,8.17930570465551,0.9348328565784478
1.2,0.15,,,3e-05,,,,threshold_sensitivity,4.0,7.963676625707078,6.88000000000001,0.9988985051140832,8.17930570465551,0.9736372393043458
1.2,0.15,,,0.0001,,,,threshold_sensitivity,4.0,8.208934782658206,12.45999999999998,0.9981071290944123,8.17930570465551,1.0036224441379946
1.2,0.15,,,0.0003,,,,threshold_sensitivity,4.0,8.439765989200433,17.600000000000023,0.9974642591702004,8.17930570465551,1.0318438133931922
1.2,0.15,,,0.001,,,,threshold_sensitivity,4.0,8.569608542880443,24.06000000000001,0.9962053193291548,8.17930570465551,1.0477183335992415
