alpha,rho,N,closure,threshold,Z_f,g,beta,panel,n_points,slope_Z_vs_lnN,intercept,r2,predicted_slope_beta_over_g,slope_ratio
0.8,0.15,128.0,open,1e-05,29.9,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.15,256.0,open,1e-05,31.8,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.15,512.0,open,1e-05,35.4,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.15,1024.0,open,1e-05,38.4,0.1488467493905591,0.7943285854760255,horizons,,,,,,
0.8,0.3,128.0,open,1e-05,17.900000000000002,0.2999056562908215,0.8005208889030638,horizons,,,,,,
0.8,0.3,256.0,open,1e-05,20.1,0.2999056562908215,0.8005208889030638,horizons,,,,,,
0.8,0.3,512.0,open,1e-05,21.8,0.2999056562908215,0.8005208889030638,horizons,,,,,,
0.8,0.3,1024.0,open,1e-05,23.6,0.2999056562908215,0.8005208889030638,horizons,,,,,,
1.2,0.15,128.0,open,1e-05,39.4,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.15,256.0,open,1e-05,45.0,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.15,512.0,open,1e-05,50.3,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.15,1024.0,open,1e-05,55.3,0.1468434516569534,1.2010774818290246,horizons,,,,,,
1.2,0.3,128.0,open,1e-05,23.4,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.2,0.3,256.0,open,1e-05,26.4,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.2,0.3,512.0,open,1e-05,29.0,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.2,0.3,1024.0,open,1e-05,31.6,0.2980904795342038,1.2001532722697053,horizons,,,,,,
1.6,0.15,128.0,open,1e-05,51.4,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.15,256.0,open,1e-05,59.7,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.15,512.0,open,1e-05,67.2,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.15,1024.0,open,1e-05,74.4,0.1499447723013107,1.6002383326855818,horizons,,,,,,
1.6,0.3,128.0,open,1e-05,29.7,0.2989848978959758,1.6001219098981472,horizons,,,,,,
1.6,0.3,256.0,open,1e-05,33.5,0.2989848978959758,1.6001219098981472,horizons,,,,,,
1.6,0.3,512.0,open,1e-05,37.1,0.2989848978959758,1.6001219098981472,horizons,,,,,,
1.6,0.3,1024.0,open,1e-05,40.5,0.2989848978959758,1.6001219098981472,horizons,,,,,,
