alpha,rho,sigma,R,Nref,N,Z,closure,D_W,D_W_ci_low,D_W_ci_high,Q99_ref,Q99_finite,Delta99,Delta99_ci_low,Delta99_ci_high,M4_ref,M4_finite,paired_max_mean,paired_max_positive_fraction,panel,intensity,pdf_ref,pdf_finite,realization,max_finite,max_ref,delta_max
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,0.2024035618931787,1.3440902415343614,1.345602154067021,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,0.525359579157666,0.8255042428321272,0.8436471932240421,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,0.8483155964221534,0.2691204308134041,0.3295969321197871,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,1.1712716136866406,0.1663103785925531,0.1663103785925531,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,1.4942276309511278,0.1270006527434042,0.0786194516982978,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,1.817183648215615,0.0771075391656382,0.0498931135777659,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,2.140139665480102,0.0453573759797872,0.0423335509144681,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,2.4630956827445893,0.0438454634471276,0.0377978133164893,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,2.7860517000090765,0.0257025130552127,0.0226786879898936,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,3.109007717273564,0.0241906005225531,0.0241906005225531,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,3.431963734538051,0.021166775457234,0.0166310378592553,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,3.7549197518025386,0.0120953002612765,0.0166310378592552,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,4.077875769067026,0.0181429503919148,0.0136072127939361,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,4.400831786331514,0.0120953002612765,0.010583387728617,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,4.723787803596,0.0120953002612765,0.0090714751959574,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,5.046743820860488,0.0090714751959574,0.0166310378592553,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,5.369699838124975,0.010583387728617,0.0030238250653191,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,5.692655855389463,0.0045357375979787,0.0060476501306382,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,6.015611872653949,0.0060476501306382,0.0060476501306382,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,6.338567889918437,0.0015119125326595,0.0030238250653191,,,,
