alpha,q,lambda_exact,lambda_symbol_float,abs_difference
0.8,0.025,0.09839706004254778,0.09839706004254745,3.3306690738754696e-16
0.8,0.15485802723290804,0.4192749083314099,0.41927490833140957,3.3306690738754696e-16
0.8,0.2847160544658161,0.6746577191081996,0.6746577191081995,1.1102230246251565e-16
0.8,0.4145740816987241,0.8996528345564851,0.8996528345564854,2.220446049250313e-16
0.8,0.5444321089316322,1.103420121693218,1.103420121693218,0.0
0.8,0.6742901361645403,1.29022785370186,1.2902278537018599,2.220446049250313e-16
0.8,0.8041481633974482,1.462524254634569,1.46252425463457,1.1102230246251565e-15
0.8,0.9340061906303563,1.621884210604282,1.6218842106042826,6.661338147750939e-16
0.8,1.0638642178632642,1.76939798685547,1.76939798685547,0.0
0.8,1.1937222450961722,1.905859780303084,1.9058597803030846,6.661338147750939e-16
0.8,1.3235802723290804,2.0318699574574994,2.0318699574575,4.440892098500626e-16
0.8,1.4534382995619883,2.1478951297835596,2.14789512978356,4.440892098500626e-16
0.8,1.5832963267948963,2.254305669508323,2.2543056695083235,4.440892098500626e-16
0.8,1.7131543540278045,2.3514002800692033,2.351400280069205,1.7763568394002505e-15
0.8,1.8430123812607124,2.439422712454806,2.4394227124548067,8.881784197001252e-16
0.8,1.9728704084936206,2.518573493470636,2.5185734934706376,1.7763568394002505e-15
0.8,2.1027284357265286,2.589018361745315,2.589018361745315,0.0
0.8,2.2325864629594365,2.650894457145713,2.6508944571457143,1.3322676295501878e-15
0.8,2.3624444901923445,2.7043149309472634,2.704314930947265,1.7763568394002505e-15
0.8,2.492302517425253,2.7493724149992613,2.7493724149992618,4.440892098500626e-16
0.8,2.622160544658161,2.786141644398232,2.786141644398233,1.3322676295501878e-15
0.8,2.752018571891069,2.8146814350524214,2.8146814350524227,1.3322676295501878e-15
0.8,2.8818765991239768,2.835036155257029,2.835036155257031,1.7763568394002505e-15
0.8,3.0117346263568847,2.8472367873907065,2.8472367873907083,1.7763568394002505e-15
0.8,3.141592653589793,2.851301645002965,2.851301645002966,8.881784197001252e-16
1.2,0.025,0.023737173383379294,0.02373717338337933,3.469446951953614e-17
1.2,0.15485802723290804,0.20268661916695757,0.20268661916695674,8.326672684688674e-16
1.2,0.2847160544658161,0.40552881452477624,0.4055288145247753,9.43689570931383e-16
1.2,0.4145740816987241,0.6146117899449451,0.614611789944943,2.1094237467877974e-15
1.2,0.5444321089316322,0.823769380439414,0.8237693804394113,2.6645352591003757e-15
1.2,0.6742901361645403,1.0296786100439166,1.0296786100439133,3.3306690738754696e-15
1.2,0.8041481633974482,1.2302286614910214,1.2302286614910176,3.774758283725532e-15
1.2,0.9340061906303563,1.4239501664100425,1.4239501664100378,4.6629367034256575e-15
1.2,1.0638642178632642,1.6097585705169264,1.6097585705169206,5.773159728050814e-15
1.2,1.1937222450961722,1.7868203519985963,1.7868203519985888,7.549516567451064e-15
1.2,1.3235802723290804,1.9544759985197857,1.9544759985197788,6.8833827526759706e-15
1.2,1.4534382995619883,2.1121923596492422,2.112192359649235,7.105427357601002e-15
1.2,1.5832963267948963,2.2595315234885156,2.2595315234885067,8.881784197001252e-15
1.2,1.7131543540278045,2.3961296048563225,2.3961296048563123,1.021405182655144e-14
1.2,1.8430123812607124,2.5216817917131604,2.5216817917131493,1.1102230246251565e-14
1.2,1.9728704084936206,2.635931513743885,2.6359315137438735,1.1546319456101628e-14
1.2,2.1027284357265286,2.7386624250925062,2.738662425092493,1.3322676295501878e-14
1.2,2.2325864629594365,2.8296923691527573,2.8296923691527436,1.3766765505351941e-14
1.2,2.3624444901923445,2.908868779040093,2.9088687790400765,1.6431300764452317e-14
1.2,2.492302517425253,2.9760651455172105,2.976065145517194,1.6431300764452317e-14
1.2,2.622160544658161,3.0311782990194316,3.0311782990194156,1.5987211554602254e-14
1.2,2.752018571891069,3.0741263288432448,3.0741263288432297,1.509903313490213e-14
1.2,2.8818765991239768,3.1048470149673246,3.1048470149673078,1.687538997430238e-14
1.2,3.0117346263568847,3.123296685086509,3.1232966850864914,1.7763568394002505e-14
1.2,3.141592653589793,3.129449436703876,3.1294494367038537,2.220446049250313e-14
1.6,0.025,0.006893032286016952,0.006893032286017231,2.7929047963226594e-16
1.6,0.15485802723290804,0.10895347703579188,0.10895347703579183,4.163336342344337e-17
1.6,0.2847160544658161,0.2624704807816829,0.2624704807816822,6.661338147750939e-16
1.6,0.4145740816987241,0.4429957995395226,0.44299579953952106,1.5543122344752192e-15
1.6,0.5444321089316322,0.6393957215988445,0.639395721598842,2.55351295663786e-15
1.6,0.6742901361645403,0.8447653270675718,0.8447653270675692,2.55351295663786e-15
1.6,0.8041481633974482,1.0542610524247702,1.0542610524247653,4.884981308350689e-15
1.6,0.9340061906303563,1.2642428449413978,1.2642428449413932,4.6629367034256575e-15
1.6,1.0638642178632642,1.4718523330428694,1.4718523330428632,6.217248937900877e-15
1.6,1.1937222450961722,1.6747767130401905,1.6747767130401818,8.659739592076221e-15
1.6,1.3235802723290804,1.8711045007387221,1.871104500738713,9.103828801926284e-15
1.6,1.4534382995619883,2.05923164049797,2.0592316404979583,1.1546319456101628e-14
1.6,1.5832963267948963,2.2377973908691273,2.2377973908691136,1.3766765505351941e-14
1.6,1.7131543540278045,2.405638880067169,2.405638880067156,1.2878587085651816e-14
1.6,1.8430123812607124,2.5617579313021612,2.561757931302147,1.4210854715202004e-14
1.6,1.9728704084936206,2.705296272232154,2.705296272232135,1.865174681370263e-14
1.6,2.1027284357265286,2.835516666773985,2.835516666773966,1.9095836023552692e-14
1.6,2.2325864629594365,2.951788354046361,2.951788354046339,2.220446049250313e-14
1.6,2.3624444901923445,3.0535757036007194,3.053575703600697,2.220446049250313e-14
1.6,2.492302517425253,3.1404293327464265,3.140429332746404,2.2648549702353193e-14
1.6,2.622160544658161,3.2119791549503356,3.211979154950309,2.6645352591003757e-14
1.6,2.752018571891069,3.2679289807389362,3.2679289807389074,2.886579864025407e-14
1.6,2.8818765991239768,3.3080523997996183,3.3080523997995925,2.5757174171303632e-14
1.6,3.0117346263568847,3.332189750867273,3.3321897508672356,3.730349362740526e-14
1.6,3.141592653589793,3.340246044613553,3.340246044613516,3.68594044175552e-14
