path,rows,columns,status
data/dynamic/dynamic_diagnostics.csv,16584,13,PASS
data/dynamic/dynamic_fits.csv,6,15,PASS
data/dynamic/error_growth_rates.csv,24,8,PASS
data/dynamic/fidelity_horizons.csv,96,10,PASS
data/dynamic/fidelity_horizons_all_thresholds.csv,288,8,PASS
data/dynamic/heldout_predictions.csv,24,8,PASS
data/dynamic/horizon_scaling_fits.csv,29,9,PASS
data/dynamic/propagation_map_a080_r030_N256.csv,61696,5,PASS
data/headline_results.csv,17,7,PASS
data/representative_raw/deterministic_a080_r030_N128_timeseries.csv,481,13,PASS
data/representative_raw/open_operator_fft_vs_direct_N64.csv,64,5,PASS
data/representative_raw/reference_periodic_a080_r030_timeseries.csv,481,5,PASS
data/representative_raw/stochastic_paired_maxima_N256_Z25.csv,128,7,PASS
data/representative_raw/stochastic_pilot_seed_and_config.csv,1,8,PASS
data/static/static_closure_scaling.csv,59,9,PASS
data/static/static_fits.csv,18,9,PASS
data/static/static_local_slopes.csv,177,6,PASS
data/stochastic/stochastic_paired_maxima.csv,1536,7,PASS
data/stochastic/stochastic_pilot_config.csv,1,8,PASS
data/stochastic/stochastic_pilot_pdfs.csv,1920,6,PASS
data/stochastic/stochastic_pilot_summary.csv,24,20,PASS
data/table01_parameters.csv,10,3,PASS
data/table02_main_results.csv,6,8,PASS
data/theory/dispersion_mi.csv,2406,5,PASS
data/theory/kernel_tail.csv,36,5,PASS
data/theory/selected_modes.csv,6,10,PASS
data/validation/dynamic_step_sensitivity.csv,21,3,PASS
data/validation/operator_validation.csv,97,5,PASS
data/validation/power_conservation.csv,2,4,PASS
data/validation/time_step_convergence.csv,4,3,PASS
figure_data/figure01.csv,3000,4,PASS
figure_data/figure01_panel_kernel.csv,3000,4,PASS
figure_data/figure02.csv,2418,26,PASS
figure_data/figure02_panel_dispersion.csv,1203,26,PASS
figure_data/figure02_panel_mi_gain.csv,1203,26,PASS
figure_data/figure02_panel_mi_validation.csv,6,26,PASS
figure_data/figure02_panel_selected_modes.csv,6,26,PASS
figure_data/figure03.csv,49,16,PASS
figure_data/figure03_panel_beta_vs_alpha.csv,3,16,PASS
figure_data/figure03_panel_closure_scaling.csv,10,16,PASS
figure_data/figure03_panel_corrected_local_beta.csv,6,16,PASS
figure_data/figure03_panel_open_local_beta.csv,30,16,PASS
figure_data/figure04.csv,2441,20,PASS
figure_data/figure04_panel_N_rescaling.csv,12,20,PASS
figure_data/figure04_panel_g_error.csv,24,20,PASS
figure_data/figure04_panel_open_errors.csv,1924,20,PASS
figure_data/figure04_panel_open_vs_corrected.csv,481,20,PASS
figure_data/figure05.csv,46,15,PASS
figure_data/figure05_panel_horizons.csv,24,15,PASS
figure_data/figure05_panel_slope_ratio.csv,6,15,PASS
figure_data/figure05_panel_slope_test.csv,6,15,PASS
figure_data/figure05_panel_threshold_sensitivity.csv,10,15,PASS
figure_data/figure06.csv,61696,6,PASS
figure_data/figure06_panel_a_reference.csv,61696,3,PASS
figure_data/figure06_panel_b_open.csv,61696,3,PASS
figure_data/figure06_panel_c_corrected.csv,61696,3,PASS
figure_data/figure06_panel_d_open_minus_reference.csv,61696,3,PASS
figure_data/figure06_panel_propagation_map.csv,61696,6,PASS
figure_data/figure07.csv,336,28,PASS
figure_data/figure07_panel_delta99.csv,24,28,PASS
figure_data/figure07_panel_paired_maxima.csv,128,28,PASS
figure_data/figure07_panel_pdf.csv,160,28,PASS
figure_data/figure07_panel_wasserstein.csv,24,28,PASS
figure_data/figure08.csv,18,18,PASS
figure_data/figure08_panel_correction_efficiency.csv,3,18,PASS
figure_data/figure08_panel_horizon.csv,6,18,PASS
figure_data/figure08_panel_spatial.csv,3,18,PASS
figure_data/figure08_panel_temporal.csv,6,18,PASS
logs/dispersion_symbol_verification.csv,75,5,PASS
logs/reproducibility_smoke_test.csv,5,7,PASS
manifests/claims_and_evidence.csv,11,9,PASS
manifests/results_manifest.csv,9,7,PASS
